"gid","rid","pid","fnm","lnm","htm","atm","dt","d","dc","g","rx","ry","lcx","lcy","dst","shtp","shza","shzb"
"0021300036",18,2216,"Zach","Randolph","DAL","MEM","2013-11-02","MISS Randolph 17' Jump Shot",1.446,-30.932,80.692,39.995,149,71,16,"JMP","R","MR"
"0021300036",606,2216,"Zach","Randolph","DAL","MEM","2013-11-02","MISS Randolph  3PT Jump Shot",1.352,-33.804,5.26,46.055,-221,0,22,"JMP","L","LC3"
"0021300037",287,101141,"Ersan","Ilyasova","MIL","TOR","2013-11-02","MISS Ilyasova 13' Jump Shot",1.866,-29.336,4.144,12.334,125,7,12,"JMP","R","MR"
"0021300037",544,2406,"Caron","Butler","MIL","TOR","2013-11-02","MISS Butler 27' 3PT Jump Shot",1.607,-32.415,28.827,28.009,-13,266,26,"JMP","C","AB3"
"0021300038",230,201935,"James","Harden","UTA","HOU","2013-11-02","MISS Harden 8' Running Jump Shot",1.65,-30.747,81.124,30.659,50,61,7,"RJ","C","PNT"
"0021300038",31,202330,"Gordon","Hayward","UTA","HOU","2013-11-02","MISS Hayward 24' 3PT Jump Shot",1.394,-31.821,18.104,45.148,-190,149,24,"JMP","LC","AB3"
"0021300038",46,202683,"Enes","Kanter","UTA","HOU","2013-11-02","MISS Kanter 19' Jump Shot",1.575,-30.932,8.902,42.416,-185,3,18,"JMP","L","MR"
"0021300038",63,2224,"Jamaal","Tinsley","UTA","HOU","2013-11-02","MISS Tinsley 25' 3PT Jump Shot",1.578,-32.865,27.59,13.119,89,231,24,"JMP","RC","AB3"
"0021300039",187,201587,"Nicolas","Batum","POR","SAS","2013-11-02","MISS Batum 27' 3PT Jump Shot",1.156,-31.921,60.251,18.973,-26,266,26,"JMP","C","AB3"
"0021300039",237,1495,"Tim","Duncan","POR","SAS","2013-11-02","MISS Duncan 22' Jump Shot",1.183,-31.449,25.803,27.46,-4,219,21,"JMP","C","MR"
"0021300039",327,203081,"Damian","Lillard","POR","SAS","2013-11-02","MISS Lillard 20' Jump Shot",1.521,-31.012,22.716,17.575,62,192,20,"JMP","C","MR"
"0021300039",332,1938,"Manu","Ginobili","POR","SAS","2013-11-02","MISS Ginobili 22' Jump Shot",1.452,-31.137,77.478,5.693,-163,149,22,"JMP","LC","MR"
"0021300042",354,201596,"Mario","Chalmers","MIA","WAS","2013-11-03","MISS Chalmers 25' 3PT Jump Shot",1.483,-32.177,29.844,23.322,32,252,25,"JMP","C","AB3"
"0021300042",493,2203,"Shane","Battier","MIA","WAS","2013-11-03","MISS Battier 25' 3PT Jump Shot",1.278,-31.916,9.324,3.035,242,56,24,"JMP","R","RC3"
"0021300043",36,2207,"Joe","Johnson","ORL","BKN","2013-11-03","MISS Johnson 25' 3PT Jump Shot",1.304,-31.096,14.469,47.169,-215,129,25,"JMP","LC","AB3"
"0021300043",463,203141,"Mirza","Teletovic","ORL","BKN","2013-11-03","MISS Teletovic 26' 3PT Jump Shot",1.465,-32.194,65.265,26.432,94,239,25,"JMP","RC","AB3"
"0021300044",198,200757,"Thabo","Sefolosha","OKC","PHX","2013-11-03","MISS Sefolosha  3PT Jump Shot",1.109,-31.479,90.413,2.901,-223,15,22,"JMP","L","LC3"
"0021300045",304,203501,"Tim","Hardaway Jr.","NYK","MIN","2013-11-03","MISS Hardaway Jr. 18' Fadeaway Jumper",1.303,-31.659,71.76,30.887,32,179,18,"FDE","C","MR"
"0021300045",312,201593,"Nikola","Pekovic","NYK","MIN","2013-11-03","MISS Pekovic 6' Hook Shot",2.243,-33.881,12.634,27.993,-41,47,6,"HK","C","PNT"
